name,department,school,rating,take_again,difficulty,avg_gpa,Clear grading criteria,Respected,Get ready to read,Skip class? You won't pass.,Tough grader,Accessible outside class,Graded by few things,Lecture heavy,Test heavy,Inspirational,Amazing lectures,Caring,Gives good feedback,Participation matters,Hilarious,Lots of homework
"APPEL, K.",Fine Arts,UC Irvine,3.8,80,2.5,3.72,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"BUCK, R.",Music,UC Irvine,4.3,N/,3.3,3.866666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WARRIOR, R.",Biology,UC Irvine,4.1,70,3.8,3.086,0,5,9,0,0,0,0,6,6,0,5,7,0,0,3,0
"MCCARTHY, J.",Engineering,UC Irvine,4.1,100,2.0,3.924905660377358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"THORNE, T.",History,UC Irvine,3.1,N/,2.7,2.7528571428571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ELGHOBASHI, S.",Engineering,UC Irvine,2.7,N/,3.7,3.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FUJII, J.",Ethnic Studies,UC Irvine,4.3,100,3.0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAZUMDAR, S.",Architecture,UC Irvine,4.1,N/,2.2,3.14234375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAZUMDAR, S.",Sociology,UC Irvine,4.3,81,2.2,3.14234375,0,0,10,8,0,0,0,0,0,5,5,0,0,5,0,0
"RUTLEDGE, J.",Physics,UC Irvine,3.2,N/,3.3,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FROSTIG, R.",Biology,UC Irvine,3.8,N/,2.7,3.978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
